subject_id,X0__0,X1__0,X2__0,X3__0,X0__1,X1__1,X2__1,X3__1,X0__2,X1__2,X2__2,X3__2,X0__3,X1__3,X2__3,X3__3,X0__4,X1__4,X2__4,X3__4,X0__5,X1__5,X2__5,X3__5,X0__6,X1__6,X2__6,X3__6,X0__7,X1__7,X2__7,X3__7,X0__8,X1__8,X2__8,X3__8,X0__9,X1__9,X2__9,X3__9,X0__10,X1__10,X2__10,X3__10,X0__11,X1__11,X2__11,X3__11,X0__12,X1__12,X2__12,X3__12,X0__13,X1__13,X2__13,X3__13,X0__14,X1__14,X2__14,X3__14,X0__15,X1__15,X2__15,X3__15
10,ok,30.0,0.0,2.0,no,30.0,1.0,1.0,no,30.0,2.0,1.0,no,10.0,1.0,0.0,no,30.0,2.0,1.0,no,30.0,0.0,1.0,ok,30.0,1.0,0.0,yes,10.0,1.0,2.0,yes,10.0,0.0,2.0,ok,20.0,2.0,2.0,yes,20.0,0.0,0.0,yes,30.0,1.0,2.0,yes,10.0,0.0,2.0,ok,20.0,2.0,2.0,yes,30.0,0.0,1.0,ok,20.0,2.0,1.0
11,yes,10.0,2.0,1.0,ok,20.0,0.0,2.0,no,20.0,1.0,2.0,yes,20.0,1.0,0.0,ok,10.0,1.0,1.0,no,10.0,2.0,2.0,yes,30.0,1.0,0.0,ok,20.0,2.0,1.0,ok,30.0,2.0,1.0,ok,10.0,0.0,2.0,no,30.0,1.0,0.0,no,20.0,2.0,2.0,yes,30.0,1.0,1.0,yes,30.0,1.0,0.0,ok,10.0,1.0,1.0,no,10.0,2.0,2.0
12,ok,10.0,2.0,2.0,yes,10.0,2.0,0.0,ok,20.0,2.0,1.0,yes,20.0,2.0,0.0,ok,10.0,1.0,0.0,no,30.0,2.0,1.0,no,30.0,0.0,2.0,no,30.0,1.0,0.0,no,30.0,1.0,2.0,no,30.0,2.0,0.0,no,20.0,2.0,2.0,no,20.0,2.0,1.0,no,30.0,2.0,1.0,no,30.0,1.0,0.0,no,30.0,2.0,2.0,ok,20.0,2.0,2.0
13,yes,10.0,1.0,2.0,ok,30.0,1.0,0.0,ok,20.0,2.0,1.0,ok,10.0,0.0,0.0,no,30.0,2.0,1.0,no,30.0,2.0,2.0,yes,20.0,2.0,2.0,yes,30.0,0.0,0.0,ok,30.0,1.0,0.0,no,30.0,1.0,2.0,ok,30.0,1.0,1.0,yes,20.0,1.0,0.0,yes,30.0,0.0,0.0,yes,10.0,1.0,0.0,yes,20.0,1.0,1.0,yes,20.0,2.0,1.0
14,no,10.0,2.0,2.0,no,20.0,2.0,2.0,no,30.0,2.0,1.0,no,30.0,1.0,1.0,no,30.0,2.0,0.0,no,20.0,0.0,1.0,no,30.0,1.0,1.0,yes,10.0,0.0,0.0,yes,10.0,1.0,0.0,ok,30.0,1.0,2.0,no,30.0,2.0,0.0,ok,20.0,0.0,2.0,yes,20.0,2.0,1.0,ok,30.0,0.0,0.0,no,30.0,2.0,1.0,ok,10.0,0.0,0.0
15,ok,30.0,0.0,2.0,no,30.0,1.0,0.0,no,10.0,0.0,1.0,yes,10.0,1.0,1.0,ok,20.0,2.0,1.0,no,20.0,2.0,1.0,no,10.0,0.0,0.0,no,10.0,0.0,1.0,no,20.0,0.0,0.0,no,20.0,0.0,2.0,no,20.0,1.0,1.0,no,20.0,0.0,1.0,no,20.0,2.0,1.0,no,10.0,0.0,0.0,no,10.0,1.0,2.0,no,20.0,2.0,2.0
16,ok,20.0,2.0,2.0,no,30.0,1.0,1.0,yes,10.0,0.0,0.0,ok,20.0,2.0,1.0,no,20.0,2.0,1.0,no,10.0,2.0,2.0,yes,10.0,2.0,1.0,ok,20.0,0.0,0.0,ok,10.0,1.0,2.0,no,10.0,0.0,0.0,yes,20.0,2.0,1.0,ok,10.0,0.0,2.0,no,10.0,1.0,1.0,no,20.0,0.0,0.0,no,20.0,0.0,2.0,no,30.0,0.0,1.0
17,ok,30.0,0.0,2.0,ok,30.0,2.0,1.0,no,30.0,2.0,0.0,no,30.0,1.0,2.0,no,10.0,1.0,1.0,no,20.0,0.0,1.0,no,20.0,0.0,0.0,no,20.0,2.0,1.0,no,20.0,2.0,1.0,no,20.0,2.0,1.0,no,20.0,2.0,1.0,no,20.0,2.0,0.0,no,20.0,2.0,2.0,no,20.0,2.0,2.0,no,20.0,0.0,0.0,no,20.0,1.0,0.0
18,ok,10.0,2.0,1.0,yes,10.0,2.0,2.0,yes,10.0,2.0,2.0,yes,10.0,0.0,0.0,yes,30.0,2.0,1.0,yes,20.0,2.0,1.0,ok,10.0,0.0,1.0,no,20.0,0.0,0.0,yes,10.0,1.0,0.0,ok,30.0,1.0,2.0,no,20.0,1.0,2.0,no,20.0,0.0,0.0,no,30.0,2.0,1.0,no,30.0,0.0,0.0,no,10.0,1.0,1.0,yes,10.0,0.0,0.0
19,ok,20.0,2.0,2.0,yes,30.0,2.0,1.0,ok,20.0,0.0,2.0,ok,10.0,2.0,2.0,ok,20.0,0.0,2.0,ok,10.0,1.0,1.0,ok,20.0,0.0,2.0,ok,10.0,2.0,2.0,no,20.0,2.0,2.0,no,20.0,2.0,2.0,yes,30.0,1.0,2.0,ok,20.0,2.0,2.0,no,30.0,0.0,1.0,no,20.0,0.0,0.0,no,20.0,1.0,1.0,no,10.0,1.0,0.0
20,ok,30.0,1.0,2.0,yes,20.0,2.0,1.0,no,20.0,2.0,0.0,no,20.0,2.0,2.0,no,30.0,0.0,0.0,no,30.0,2.0,2.0,no,30.0,0.0,1.0,no,20.0,1.0,2.0,no,20.0,2.0,1.0,no,20.0,2.0,1.0,no,30.0,1.0,1.0,no,30.0,1.0,0.0,no,30.0,2.0,1.0,no,10.0,0.0,0.0,no,20.0,1.0,2.0,yes,10.0,0.0,0.0
21,ok,10.0,0.0,0.0,ok,20.0,2.0,2.0,ok,10.0,0.0,2.0,no,20.0,0.0,0.0,no,20.0,0.0,2.0,no,30.0,1.0,0.0,no,30.0,1.0,0.0,no,30.0,2.0,1.0,no,20.0,2.0,0.0,ok,30.0,1.0,2.0,ok,30.0,1.0,1.0,ok,10.0,1.0,0.0,yes,10.0,0.0,1.0,yes,30.0,1.0,0.0,no,30.0,2.0,1.0,no,30.0,1.0,1.0
22,ok,10.0,0.0,0.0,yes,10.0,1.0,2.0,yes,30.0,1.0,2.0,yes,20.0,1.0,2.0,yes,20.0,1.0,2.0,ok,30.0,1.0,0.0,yes,20.0,2.0,2.0,yes,30.0,0.0,1.0,yes,30.0,1.0,1.0,ok,20.0,2.0,0.0,yes,20.0,1.0,1.0,yes,30.0,1.0,0.0,yes,10.0,1.0,2.0,yes,10.0,0.0,0.0,yes,10.0,0.0,1.0,yes,10.0,1.0,0.0
23,ok,10.0,0.0,0.0,yes,30.0,1.0,2.0,ok,20.0,0.0,0.0,no,10.0,1.0,0.0,no,10.0,1.0,1.0,no,10.0,1.0,0.0,no,30.0,1.0,2.0,ok,10.0,1.0,1.0,yes,30.0,1.0,1.0,yes,20.0,1.0,2.0,yes,20.0,0.0,0.0,yes,20.0,2.0,2.0,ok,30.0,1.0,1.0,no,30.0,2.0,2.0,no,10.0,0.0,0.0,no,10.0,1.0,0.0
24,ok,20.0,2.0,2.0,yes,20.0,2.0,2.0,ok,30.0,2.0,1.0,ok,20.0,0.0,0.0,no,20.0,0.0,2.0,no,30.0,1.0,1.0,no,30.0,2.0,1.0,no,30.0,1.0,0.0,no,30.0,2.0,2.0,yes,10.0,1.0,1.0,yes,30.0,1.0,0.0,ok,30.0,1.0,2.0,ok,30.0,1.0,0.0,yes,10.0,0.0,1.0,ok,10.0,1.0,0.0,yes,10.0,0.0,1.0
25,ok,20.0,2.0,2.0,yes,10.0,2.0,1.0,yes,30.0,0.0,2.0,ok,20.0,2.0,2.0,yes,20.0,1.0,1.0,yes,20.0,0.0,2.0,ok,30.0,2.0,0.0,ok,10.0,0.0,1.0,ok,20.0,2.0,0.0,ok,10.0,0.0,1.0,yes,10.0,1.0,0.0,ok,20.0,2.0,1.0,ok,30.0,0.0,0.0,yes,30.0,1.0,2.0,ok,10.0,1.0,0.0,yes,10.0,0.0,1.0
26,ok,10.0,2.0,2.0,yes,10.0,1.0,0.0,yes,20.0,2.0,2.0,yes,20.0,1.0,2.0,yes,30.0,1.0,1.0,ok,10.0,2.0,1.0,no,10.0,1.0,0.0,no,20.0,0.0,1.0,no,20.0,1.0,2.0,no,20.0,0.0,0.0,no,20.0,1.0,1.0,no,20.0,2.0,0.0,ok,30.0,0.0,2.0,no,10.0,1.0,1.0,no,10.0,0.0,0.0,no,20.0,2.0,2.0
27,no,20.0,2.0,0.0,no,30.0,0.0,0.0,no,30.0,1.0,2.0,no,30.0,2.0,1.0,no,20.0,2.0,0.0,no,20.0,2.0,1.0,no,20.0,2.0,0.0,no,20.0,2.0,1.0,no,30.0,1.0,1.0,no,20.0,1.0,0.0,no,20.0,0.0,1.0,no,20.0,2.0,1.0,no,20.0,2.0,1.0,no,20.0,2.0,0.0,yes,10.0,1.0,0.0,ok,20.0,2.0,2.0
28,ok,30.0,0.0,2.0,ok,10.0,1.0,2.0,ok,30.0,1.0,1.0,yes,20.0,0.0,1.0,ok,30.0,2.0,1.0,no,10.0,0.0,2.0,ok,20.0,1.0,0.0,yes,20.0,1.0,1.0,yes,20.0,0.0,0.0,ok,10.0,2.0,2.0,yes,30.0,0.0,1.0,yes,20.0,2.0,1.0,yes,20.0,1.0,0.0,yes,20.0,1.0,2.0,yes,30.0,1.0,2.0,ok,10.0,0.0,2.0
29,no,10.0,1.0,2.0,ok,30.0,1.0,0.0,no,30.0,2.0,1.0,no,30.0,0.0,0.0,no,30.0,1.0,2.0,yes,20.0,1.0,2.0,yes,20.0,1.0,1.0,no,20.0,0.0,0.0,no,20.0,1.0,0.0,no,20.0,2.0,2.0,no,20.0,2.0,1.0,no,10.0,0.0,2.0,ok,20.0,2.0,2.0,yes,30.0,1.0,0.0,ok,10.0,1.0,0.0,yes,30.0,1.0,2.0
30,yes,10.0,0.0,0.0,yes,10.0,1.0,0.0,ok,30.0,1.0,1.0,yes,20.0,0.0,1.0,yes,20.0,0.0,2.0,yes,20.0,0.0,0.0,ok,30.0,0.0,0.0,yes,10.0,1.0,2.0,ok,20.0,1.0,1.0,no,30.0,1.0,0.0,yes,20.0,1.0,1.0,yes,20.0,1.0,2.0,yes,30.0,0.0,1.0,yes,30.0,1.0,0.0,yes,20.0,2.0,0.0,ok,10.0,0.0,1.0
31,ok,10.0,2.0,0.0,ok,30.0,1.0,0.0,no,30.0,2.0,1.0,no,30.0,0.0,2.0,yes,10.0,2.0,1.0,ok,20.0,0.0,1.0,yes,20.0,2.0,0.0,ok,30.0,0.0,2.0,ok,30.0,2.0,1.0,ok,30.0,1.0,1.0,yes,20.0,1.0,2.0,yes,20.0,1.0,1.0,yes,10.0,2.0,1.0,no,10.0,0.0,0.0,no,10.0,1.0,1.0,no,30.0,2.0,0.0
32,ok,20.0,2.0,2.0,yes,20.0,2.0,2.0,yes,30.0,2.0,1.0,ok,20.0,2.0,1.0,ok,10.0,0.0,2.0,yes,30.0,1.0,0.0,yes,20.0,1.0,0.0,ok,30.0,1.0,0.0,yes,10.0,2.0,2.0,yes,10.0,2.0,1.0,yes,20.0,2.0,0.0,yes,20.0,1.0,0.0,ok,30.0,1.0,0.0,yes,20.0,2.0,1.0,ok,30.0,0.0,2.0,ok,30.0,1.0,0.0
33,ok,10.0,1.0,0.0,no,20.0,1.0,1.0,yes,30.0,1.0,1.0,no,30.0,1.0,0.0,no,30.0,2.0,1.0,no,10.0,0.0,1.0,no,10.0,1.0,2.0,no,20.0,2.0,1.0,no,20.0,2.0,0.0,no,20.0,2.0,2.0,no,20.0,2.0,2.0,no,20.0,2.0,2.0,no,20.0,2.0,2.0,no,20.0,2.0,2.0,no,20.0,0.0,0.0,no,20.0,1.0,0.0
34,ok,20.0,2.0,0.0,yes,20.0,2.0,2.0,yes,30.0,0.0,0.0,yes,10.0,1.0,1.0,ok,20.0,2.0,1.0,no,20.0,2.0,0.0,no,20.0,2.0,2.0,yes,20.0,2.0,2.0,yes,20.0,1.0,0.0,ok,30.0,1.0,2.0,yes,10.0,0.0,0.0,ok,30.0,0.0,1.0,no,30.0,1.0,0.0,no,30.0,2.0,1.0,no,30.0,0.0,2.0,no,30.0,2.0,1.0
35,yes,10.0,2.0,2.0,yes,30.0,1.0,1.0,ok,20.0,2.0,1.0,no,20.0,2.0,1.0,no,30.0,2.0,1.0,no,30.0,1.0,0.0,no,20.0,0.0,2.0,ok,30.0,1.0,1.0,ok,10.0,1.0,1.0,ok,30.0,1.0,1.0,ok,10.0,1.0,0.0,no,30.0,2.0,1.0,no,30.0,1.0,0.0,no,30.0,2.0,1.0,yes,30.0,2.0,2.0,no,20.0,2.0,0.0
36,yes,10.0,0.0,0.0,ok,30.0,0.0,0.0,ok,20.0,2.0,2.0,ok,30.0,2.0,0.0,ok,20.0,0.0,2.0,no,20.0,1.0,0.0,no,10.0,1.0,0.0,no,10.0,0.0,1.0,no,20.0,1.0,2.0,no,20.0,2.0,2.0,no,20.0,2.0,2.0,no,30.0,0.0,1.0,no,30.0,2.0,1.0,yes,10.0,2.0,2.0,yes,10.0,2.0,1.0,yes,10.0,2.0,2.0
37,ok,30.0,0.0,2.0,yes,20.0,2.0,2.0,yes,20.0,2.0,2.0,yes,30.0,0.0,1.0,yes,10.0,1.0,0.0,ok,20.0,2.0,1.0,yes,30.0,0.0,0.0,ok,20.0,2.0,2.0,ok,30.0,0.0,0.0,no,30.0,1.0,2.0,no,10.0,0.0,0.0,no,20.0,0.0,2.0,no,20.0,1.0,2.0,no,20.0,1.0,0.0,yes,30.0,1.0,2.0,no,20.0,2.0,1.0
38,ok,20.0,0.0,0.0,no,20.0,0.0,1.0,no,30.0,1.0,0.0,no,30.0,2.0,1.0,yes,10.0,2.0,1.0,ok,30.0,2.0,2.0,ok,20.0,0.0,0.0,yes,20.0,2.0,2.0,no,30.0,0.0,1.0,ok,20.0,1.0,0.0,yes,30.0,1.0,2.0,ok,10.0,2.0,1.0,yes,10.0,2.0,1.0,yes,30.0,1.0,1.0,ok,10.0,1.0,1.0,yes,10.0,0.0,2.0
39,ok,30.0,0.0,2.0,ok,30.0,2.0,0.0,yes,10.0,2.0,1.0,ok,20.0,1.0,2.0,ok,30.0,1.0,0.0,yes,30.0,1.0,2.0,ok,30.0,1.0,0.0,no,10.0,0.0,1.0,no,20.0,0.0,1.0,no,20.0,0.0,0.0,no,20.0,1.0,0.0,no,20.0,0.0,2.0,no,20.0,1.0,1.0,no,20.0,2.0,1.0,no,20.0,2.0,1.0,yes,30.0,1.0,0.0
40,yes,10.0,2.0,2.0,ok,20.0,0.0,0.0,no,20.0,1.0,1.0,ok,30.0,1.0,0.0,yes,10.0,0.0,1.0,yes,20.0,2.0,1.0,ok,10.0,0.0,1.0,ok,30.0,2.0,2.0,yes,20.0,1.0,1.0,ok,30.0,1.0,1.0,yes,30.0,1.0,0.0,yes,10.0,2.0,1.0,yes,30.0,1.0,0.0,ok,10.0,1.0,0.0,no,10.0,0.0,1.0,no,20.0,0.0,1.0
41,yes,10.0,2.0,2.0,yes,30.0,1.0,0.0,ok,10.0,1.0,0.0,ok,20.0,2.0,1.0,ok,30.0,2.0,1.0,no,30.0,1.0,0.0,no,30.0,2.0,0.0,yes,30.0,1.0,0.0,ok,10.0,2.0,1.0,no,10.0,0.0,2.0,no,10.0,1.0,0.0,yes,10.0,0.0,1.0,yes,10.0,1.0,0.0,ok,20.0,2.0,1.0,no,30.0,1.0,0.0,no,30.0,2.0,1.0
42,ok,10.0,1.0,0.0,ok,30.0,1.0,0.0,no,30.0,2.0,2.0,yes,20.0,1.0,1.0,ok,30.0,1.0,1.0,no,30.0,2.0,0.0,no,30.0,0.0,1.0,no,30.0,1.0,1.0,yes,10.0,1.0,0.0,ok,20.0,0.0,1.0,yes,20.0,0.0,0.0,ok,30.0,2.0,1.0,no,30.0,0.0,0.0,no,30.0,2.0,1.0,no,10.0,1.0,2.0,no,20.0,1.0,2.0
43,ok,30.0,0.0,2.0,ok,10.0,1.0,1.0,no,20.0,1.0,2.0,no,30.0,2.0,0.0,no,10.0,1.0,1.0,yes,30.0,2.0,2.0,no,30.0,0.0,1.0,no,30.0,2.0,0.0,no,30.0,2.0,1.0,yes,10.0,2.0,2.0,no,20.0,2.0,2.0,no,30.0,0.0,1.0,yes,10.0,1.0,0.0,yes,10.0,0.0,1.0,ok,20.0,2.0,0.0,ok,10.0,0.0,1.0
44,ok,30.0,0.0,0.0,ok,20.0,2.0,1.0,no,20.0,2.0,1.0,no,20.0,2.0,0.0,yes,30.0,2.0,1.0,yes,20.0,1.0,0.0,yes,20.0,0.0,2.0,yes,20.0,2.0,1.0,ok,30.0,2.0,1.0,yes,20.0,2.0,1.0,ok,30.0,1.0,1.0,yes,20.0,1.0,2.0,ok,30.0,1.0,0.0,no,20.0,0.0,2.0,no,20.0,0.0,0.0,no,10.0,1.0,1.0
45,ok,30.0,0.0,2.0,no,30.0,1.0,0.0,no,10.0,0.0,1.0,no,20.0,2.0,0.0,no,30.0,2.0,1.0,no,30.0,2.0,1.0,no,30.0,2.0,0.0,no,30.0,2.0,1.0,no,30.0,0.0,2.0,ok,20.0,2.0,2.0,yes,20.0,1.0,1.0,ok,30.0,1.0,0.0,ok,10.0,0.0,1.0,yes,10.0,1.0,0.0,ok,30.0,0.0,2.0,no,30.0,1.0,0.0
46,no,30.0,0.0,2.0,no,30.0,1.0,2.0,no,30.0,2.0,0.0,no,30.0,0.0,2.0,ok,20.0,2.0,1.0,yes,20.0,0.0,0.0,yes,20.0,2.0,2.0,ok,30.0,0.0,1.0,yes,30.0,2.0,2.0,ok,10.0,0.0,0.0,ok,20.0,2.0,1.0,no,30.0,2.0,2.0,ok,10.0,0.0,2.0,no,10.0,1.0,1.0,yes,10.0,0.0,2.0,yes,30.0,2.0,1.0
47,ok,10.0,0.0,1.0,ok,20.0,2.0,0.0,ok,10.0,0.0,1.0,ok,30.0,1.0,0.0,no,10.0,0.0,1.0,no,10.0,1.0,0.0,no,20.0,2.0,1.0,no,20.0,2.0,0.0,no,10.0,1.0,2.0,ok,20.0,0.0,0.0,no,30.0,2.0,1.0,no,30.0,2.0,2.0,yes,20.0,1.0,1.0,ok,30.0,1.0,1.0,ok,10.0,0.0,1.0,no,10.0,1.0,0.0
48,ok,20.0,2.0,2.0,ok,10.0,0.0,2.0,ok,20.0,2.0,1.0,no,30.0,1.0,1.0,no,30.0,2.0,2.0,no,20.0,2.0,2.0,yes,10.0,2.0,2.0,ok,20.0,0.0,0.0,ok,30.0,2.0,1.0,no,30.0,0.0,2.0,yes,20.0,2.0,1.0,yes,30.0,0.0,0.0,yes,20.0,2.0,2.0,ok,30.0,1.0,0.0,yes,30.0,1.0,2.0,yes,30.0,1.0,0.0
49,yes,10.0,2.0,2.0,no,10.0,0.0,0.0,yes,10.0,1.0,1.0,yes,30.0,1.0,0.0,ok,10.0,1.0,1.0,yes,20.0,2.0,1.0,yes,30.0,1.0,0.0,ok,10.0,2.0,1.0,no,20.0,2.0,0.0,no,20.0,2.0,2.0,no,20.0,2.0,2.0,yes,10.0,1.0,1.0,no,20.0,0.0,0.0,yes,20.0,2.0,1.0,yes,30.0,0.0,2.0,yes,30.0,1.0,1.0
50,ok,10.0,0.0,0.0,no,10.0,1.0,0.0,yes,10.0,1.0,1.0,yes,30.0,1.0,0.0,yes,20.0,2.0,2.0,ok,20.0,0.0,0.0,yes,30.0,1.0,2.0,ok,30.0,1.0,2.0,yes,30.0,1.0,0.0,yes,20.0,1.0,0.0,yes,20.0,2.0,2.0,yes,20.0,2.0,2.0,yes,10.0,2.0,2.0,yes,10.0,2.0,1.0,yes,10.0,2.0,2.0,ok,20.0,2.0,1.0
51,yes,10.0,0.0,0.0,yes,10.0,1.0,0.0,yes,10.0,0.0,1.0,no,30.0,1.0,0.0,no,30.0,2.0,1.0,no,30.0,2.0,1.0,yes,30.0,0.0,2.0,ok,30.0,2.0,1.0,no,20.0,2.0,1.0,no,20.0,0.0,0.0,no,30.0,1.0,2.0,no,30.0,1.0,0.0,no,30.0,1.0,2.0,yes,30.0,1.0,0.0,yes,20.0,2.0,2.0,no,20.0,0.0,2.0
52,ok,30.0,1.0,2.0,ok,20.0,1.0,2.0,ok,10.0,1.0,1.0,yes,10.0,0.0,1.0,ok,20.0,2.0,0.0,no,20.0,2.0,2.0,no,30.0,2.0,1.0,no,10.0,1.0,1.0,no,10.0,0.0,1.0,no,10.0,1.0,2.0,no,20.0,0.0,0.0,yes,30.0,0.0,0.0,ok,10.0,2.0,2.0,yes,10.0,2.0,2.0,ok,30.0,2.0,0.0,no,30.0,2.0,1.0
53,ok,10.0,0.0,0.0,no,30.0,2.0,1.0,yes,10.0,2.0,0.0,yes,30.0,2.0,1.0,no,10.0,0.0,0.0,no,20.0,0.0,2.0,no,20.0,0.0,0.0,no,20.0,0.0,2.0,no,20.0,2.0,2.0,no,20.0,2.0,1.0,no,20.0,0.0,1.0,ok,30.0,0.0,2.0,yes,30.0,2.0,1.0,ok,20.0,0.0,0.0,yes,10.0,1.0,2.0,ok,30.0,1.0,2.0
54,no,10.0,1.0,2.0,no,10.0,0.0,2.0,no,20.0,1.0,2.0,no,30.0,2.0,1.0,no,30.0,2.0,0.0,yes,10.0,2.0,2.0,yes,10.0,2.0,1.0,yes,30.0,2.0,2.0,ok,30.0,2.0,2.0,yes,30.0,0.0,1.0,ok,30.0,2.0,2.0,no,20.0,0.0,0.0,yes,20.0,0.0,2.0,ok,30.0,0.0,1.0,no,30.0,1.0,0.0,no,20.0,0.0,2.0
55,ok,30.0,0.0,2.0,ok,10.0,2.0,1.0,yes,30.0,1.0,0.0,ok,20.0,1.0,0.0,ok,30.0,1.0,0.0,no,30.0,2.0,1.0,no,30.0,1.0,0.0,no,30.0,2.0,1.0,no,30.0,2.0,1.0,no,10.0,0.0,0.0,yes,30.0,2.0,1.0,yes,10.0,2.0,1.0,yes,10.0,2.0,1.0,no,20.0,2.0,1.0,no,20.0,0.0,0.0,yes,30.0,1.0,0.0
